City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
190,Saint-Philippe,RE,-21.3585,55.7679,80.19,84,79,15.9,broken clouds
191,Port Blair,IN,11.6667,92.75,74.05,79,8,4.12,clear sky
192,Arcos De La Frontera,ES,36.7508,-5.8106,54.27,81,12,4.65,few clouds
193,Aiken,US,33.5835,-81.5998,45.68,60,0,3.44,clear sky
194,Kloulklubed,PW,7.0419,134.2556,79.3,82,98,21.59,overcast clouds
195,Kurilsk,RU,45.2333,147.8833,26.49,67,99,14.32,overcast clouds
196,Ulaangom,MN,49.9811,92.0667,-7.73,81,54,4.41,broken clouds
197,Georgetown,MY,5.4112,100.3354,80.89,91,20,0.0,few clouds
198,Alyangula,AU,-13.8483,136.4192,78.67,100,100,4.61,light rain
199,Husavik,IS,66.0449,-17.3389,35.51,72,91,11.48,overcast clouds
200,Arraial Do Cabo,BR,-22.9661,-42.0278,76.96,83,0,13.8,clear sky
201,Bereda,ES,43.2686,-7.5406,44.91,97,18,1.77,few clouds
202,Vallenar,CL,-28.5708,-70.7581,80.67,32,0,6.8,clear sky
203,Mandali,IQ,33.7499,45.5541,41.05,48,0,4.0,clear sky
204,Shiyan,CN,32.6475,110.7781,34.36,97,99,1.61,overcast clouds
205,Sydney Mines,CA,46.2367,-60.2177,26.01,80,100,4.0,overcast clouds
206,Atuona,PF,-9.8,-139.0333,79.03,72,52,19.33,broken clouds
207,Pevek,RU,69.7008,170.3133,-30.95,93,100,6.87,overcast clouds
208,Savannah Bight,HN,16.45,-85.85,80.65,75,6,9.78,clear sky
209,Guerrero Negro,MX,27.9769,-114.0611,66.74,52,5,4.29,clear sky
210,Chimoio,MZ,-19.1164,33.4833,66.06,94,75,7.11,broken clouds
211,Souillac,MU,-20.5167,57.5167,81.36,83,75,11.5,broken clouds
212,Union,US,40.6334,-74.2663,29.93,54,0,0.0,clear sky
213,Kruisfontein,ZA,-34.0033,24.7314,69.89,80,0,9.42,clear sky
214,Puerto Carreno,CO,6.189,-67.4859,89.58,48,40,17.27,scattered clouds
215,Tecoanapa,MX,16.5167,-98.75,81.84,63,0,9.1,clear sky
216,Cherskiy,RU,68.75,161.3,-49.0,100,100,6.38,overcast clouds
217,Hambantota,LK,6.1241,81.1185,71.24,80,82,5.03,broken clouds
218,Tuktoyaktuk,CA,69.4541,-133.0374,-7.6,77,100,18.41,overcast clouds
219,Dibrugarh,IN,27.4833,94.9,52.5,81,48,3.91,scattered clouds
220,Linkou,CN,45.3,130.2833,-4.23,96,97,2.26,overcast clouds
221,Natal,BR,-5.795,-35.2094,81.25,78,20,8.05,few clouds
222,Escuintla,GT,14.305,-90.785,86.68,50,19,3.89,few clouds
223,Bubaque,GW,11.2833,-15.8333,79.34,77,30,8.99,scattered clouds
224,Mazatlan,MX,23.2167,-106.4167,75.9,82,16,3.0,few clouds
225,Yar-Sale,RU,66.8333,70.8333,3.78,100,100,1.95,overcast clouds
226,Airai,TL,-8.9266,125.4092,63.37,82,99,2.46,overcast clouds
227,Brusyliv,UA,50.2845,29.5263,23.22,95,100,8.75,overcast clouds
228,Pathein,MM,16.7833,94.7333,63.79,77,70,3.44,broken clouds
229,Yinchuan,CN,38.4681,106.2731,27.25,55,58,0.6,broken clouds
230,Abonnema,NG,4.7084,6.7931,79.56,78,3,5.97,clear sky
231,Sitka,US,57.0531,-135.33,44.49,87,100,11.5,light rain
232,Conceicao Do Araguaia,BR,-8.2578,-49.2647,75.42,88,98,2.55,moderate rain
233,Olavarria,AR,-36.8927,-60.3225,71.02,89,100,11.1,overcast clouds
234,Yulara,AU,-25.2406,130.9889,80.44,61,4,10.36,clear sky
235,Mahibadhoo,MV,3.7833,72.9667,80.42,65,92,9.75,overcast clouds
236,Biala Podlaska,PL,52.0324,23.1165,25.2,91,79,12.73,broken clouds
237,Qaqortoq,GL,60.7167,-46.0333,3.7,69,26,6.38,scattered clouds
238,Burlington,US,39.8835,-74.6413,29.77,44,0,0.0,clear sky
239,Eydhafushi,MV,5.1033,73.0708,80.73,66,100,6.85,overcast clouds
240,Alto Longa,BR,-5.2511,-42.2103,80.73,68,91,2.75,overcast clouds
241,Neiafu,TO,-18.65,-173.9833,84.88,74,40,8.05,scattered clouds
242,San Carlos,VE,9.6612,-68.5827,80.87,57,97,5.28,overcast clouds
243,Cap-Chat,CA,49.1001,-66.6821,6.8,85,37,2.3,scattered clouds
244,San Policarpo,PH,12.1791,125.5072,79.25,82,92,10.74,light rain
245,Dikson,RU,73.5069,80.5464,-6.77,100,93,7.92,overcast clouds
246,Hamilton,US,39.1834,-84.5333,32.23,51,100,1.99,overcast clouds
247,Madimba,TZ,-10.4,40.3333,73.99,91,100,7.2,overcast clouds
248,Terra Santa,BR,-2.1042,-56.4869,81.52,71,71,1.45,broken clouds
249,Chokurdakh,RU,70.6333,147.9167,-18.51,96,100,6.91,overcast clouds
250,Ahipara,NZ,-35.1667,173.1667,73.36,55,97,6.51,overcast clouds
251,Camocim,BR,-2.9022,-40.8411,79.83,80,94,12.46,overcast clouds
252,Hit,IQ,33.6416,42.8251,41.99,55,0,6.38,clear sky
253,Kedrovyy,RU,56.1667,91.8167,-8.14,100,86,3.49,overcast clouds
254,Hithadhoo,MV,-0.6,73.0833,82.56,68,52,16.91,light rain
255,Bathsheba,BB,13.2167,-59.5167,77.61,69,20,13.8,few clouds
256,Woodward,US,36.4337,-99.3904,52.83,40,0,3.44,clear sky
257,Praya,CV,14.9215,-23.5087,72.14,83,75,11.5,broken clouds
258,Pangnirtung,CA,66.1451,-65.7125,0.12,93,100,6.29,overcast clouds
259,Cabo San Lucas,MX,22.8909,-109.9124,80.51,46,24,3.0,few clouds
260,Zruc Nad Sazavou,CZ,49.7401,15.1061,36.64,99,77,3.13,broken clouds
261,Makakilo City,US,21.3469,-158.0858,79.61,59,75,8.05,broken clouds
262,Manavalakurichi,IN,8.1333,77.3,78.89,86,53,7.92,broken clouds
263,Kalmunai,LK,7.4167,81.8167,70.68,76,24,2.95,few clouds
264,Oksfjord,NO,70.2396,22.3479,32.92,93,100,13.13,snow
265,Samarai,PG,-10.6167,150.6667,82.94,73,84,4.83,broken clouds
266,Bismarck,US,46.8083,-100.7837,35.87,97,100,17.27,mist
267,Muswellbrook,AU,-32.2667,150.9,71.24,78,44,5.73,scattered clouds
268,Hilo,US,19.7297,-155.09,80.33,57,20,6.91,few clouds
269,Genhe,CN,50.7833,121.5167,-17.25,99,29,1.23,scattered clouds
270,Perth,AU,-31.9333,115.8333,83.08,46,0,16.11,clear sky
271,Vilhena,BR,-12.7406,-60.1458,75.42,83,20,8.05,few clouds
272,Tuatapere,NZ,-46.1333,167.6833,56.82,59,72,7.4,broken clouds
273,Kismayo,SO,-0.3582,42.5454,77.97,83,88,15.88,overcast clouds
274,Vestmannaeyjar,IS,63.4427,-20.2734,35.69,98,100,4.16,moderate rain
275,Norrtalje,SE,59.758,18.705,28.02,81,100,4.14,overcast clouds
276,Moron,AR,-34.6534,-58.6198,71.35,77,71,8.84,moderate rain
277,Dzilam Gonzalez,MX,21.2833,-88.9333,74.64,79,76,9.19,broken clouds
278,Pochutla,MX,15.7432,-96.4661,84.81,54,0,6.73,clear sky
279,Goderich,CA,43.7501,-81.7165,26.91,80,100,21.85,overcast clouds
280,Rabak,SD,13.1809,32.74,69.8,22,42,13.04,scattered clouds
281,Cayenne,GF,4.9333,-52.3333,76.08,92,100,2.3,overcast clouds
282,Sioux Lookout,CA,50.1001,-91.917,-5.42,71,40,6.91,scattered clouds
283,Markova,UA,48.6758,24.4138,18.68,93,100,9.26,overcast clouds
284,Hong Gai,VN,20.956,107.0946,67.91,97,100,4.14,overcast clouds
285,Asahikawa,JP,43.7678,142.3703,9.61,85,75,1.14,broken clouds
286,Trento,IT,46.0679,11.1211,43.29,68,1,3.56,clear sky
287,Kearney,US,40.6995,-99.0815,50.56,36,0,10.0,clear sky
288,Esna,EG,25.2934,32.554,48.22,43,0,9.89,clear sky
289,Mount Isa,AU,-20.7333,139.5,80.37,83,75,5.75,broken clouds
290,Provideniya,RU,64.3833,-173.3,-0.74,100,96,5.88,overcast clouds
291,High Level,CA,58.5169,-117.136,1.51,78,100,11.5,overcast clouds
292,College,US,64.8569,-147.8028,11.59,81,75,0.0,broken clouds
293,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,76.03,78,79,1.14,broken clouds
294,Teguise,ES,29.0605,-13.564,59.22,77,20,4.61,few clouds
295,Lembeni,TZ,-3.7833,37.6167,68.04,67,84,4.72,broken clouds
296,Nome,US,64.5011,-165.4064,8.67,78,100,6.91,overcast clouds
297,Belmonte,BR,-15.8631,-38.8828,81.1,85,15,8.63,few clouds
298,Mansfield,GB,53.1333,-1.2,43.2,93,13,3.44,few clouds
299,Shakawe,BW,-18.3667,21.85,69.26,45,65,6.64,broken clouds
300,Kemijarvi,FI,66.7131,27.4306,21.22,90,99,17.05,overcast clouds
301,Mazamet,FR,43.49,2.373,36.66,91,0,5.75,clear sky
302,Gorontalo,ID,0.5412,123.0595,75.94,88,63,3.02,broken clouds
303,Almeirim,BR,-1.5233,-52.5817,79.86,75,53,2.75,broken clouds
304,Kijang,KR,35.2442,129.2139,38.93,70,100,5.66,light rain
305,Yumen,CN,40.2833,97.2,19.9,56,0,4.63,clear sky
306,Sokoni,TZ,-6.4333,39.55,79.09,86,99,16.96,moderate rain
307,Okha,RU,53.5739,142.9478,-4.74,91,14,13.56,few clouds
308,Aklavik,CA,68.2191,-135.0107,-4.97,71,75,12.66,broken clouds
309,Cam Ranh,VN,11.9214,109.1591,71.56,94,20,3.44,few clouds
310,Lata,PT,40.1629,-8.3327,45.05,80,0,4.94,clear sky
311,Itum-Kale,RU,42.7356,45.5758,36.12,54,100,9.98,overcast clouds
312,Taoudenni,ML,22.6783,-3.9836,66.22,21,89,10.96,overcast clouds
313,Linhai,CN,28.85,121.1167,51.93,84,95,3.04,overcast clouds
314,Banepa,NP,27.6298,85.5214,43.12,100,20,0.0,mist
315,Severo-Kurilsk,RU,50.6789,156.125,27.77,73,85,16.69,overcast clouds
316,Hofn,IS,64.2539,-15.2082,36.97,98,93,6.08,moderate rain
317,Daru,PG,-9.0763,143.2092,78.82,83,100,8.01,overcast clouds
318,Itapipoca,BR,-3.4944,-39.5786,76.42,85,89,3.42,overcast clouds
319,Shahrud,IR,36.4182,54.9763,24.31,43,0,2.15,clear sky
320,Chuy,UY,-33.6971,-53.4616,76.93,92,29,5.84,scattered clouds
321,Bitung,ID,1.4451,125.1824,76.05,83,91,7.47,overcast clouds
322,Broome,US,42.2506,-75.833,22.46,46,0,1.01,clear sky
323,Saldanha,ZA,-33.0117,17.9442,87.85,66,72,4.72,broken clouds
324,Naryan-Mar,RU,67.6713,53.087,14.22,96,100,8.97,overcast clouds
325,Porto Seguro,BR,-16.4497,-39.0647,81.12,78,75,10.36,broken clouds
326,Jalu,LY,29.0331,21.5482,52.54,53,0,8.97,clear sky
327,Bonavista,CA,48.6499,-53.1147,15.8,66,51,6.49,broken clouds
328,Lethem,GY,3.3803,-59.7968,84.7,56,99,11.16,overcast clouds
329,Ixtapa,MX,20.7,-105.2,79.23,74,2,4.0,clear sky
330,Saint-Joseph,RE,-21.3667,55.6167,79.18,81,67,14.63,broken clouds
331,Raudeberg,NO,61.9875,5.1352,46.96,85,93,13.0,overcast clouds
332,Srednekolymsk,RU,67.45,153.6833,-40.88,100,99,5.5,overcast clouds
333,Half Moon Bay,US,37.4636,-122.4286,69.21,37,0,5.75,clear sky
334,Humaita,BR,-7.5061,-63.0208,74.28,97,100,2.37,overcast clouds
335,Tanout,NE,14.9709,8.8879,58.03,18,10,11.9,clear sky
336,Ramsar,IR,36.9226,50.6426,46.33,52,0,7.72,clear sky
337,Muromtsevo,RU,56.3724,75.2418,-13.07,100,59,3.44,broken clouds
338,Qarqin,AF,37.4185,66.0436,35.58,81,36,5.84,scattered clouds
339,Hasaki,JP,35.7333,140.8333,32.29,79,100,8.81,overcast clouds
340,Sorsk,RU,54.0033,90.2467,-3.69,98,25,2.62,scattered clouds
341,Port Hardy,CA,50.6996,-127.4199,42.98,81,75,9.22,broken clouds
342,Porto Novo,BJ,6.4965,2.6036,78.62,78,0,5.66,clear sky
343,Nyurba,RU,63.2842,118.3319,-11.45,98,50,6.29,scattered clouds
344,Banjarmasin,ID,-3.3244,114.591,73.54,91,82,1.86,broken clouds
345,Moscow,RU,55.7522,37.6156,25.32,98,96,4.43,overcast clouds
