City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
330,Saint-Joseph,RE,79.18,broken clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
334,Humaita,BR,74.28,overcast clouds,-7.5061,-63.0208,Corrêa Hotel
342,Porto Novo,BJ,78.62,clear sky,6.4965,2.6036,Tour Eiffel Hotel Benin
344,Banjarmasin,ID,73.54,broken clouds,-3.3244,114.591,Swiss-Belhotel Borneo Banjarmasin
347,Ouegoa,NC,83.97,scattered clouds,-20.35,164.4333,
348,Camopi,GF,72.64,overcast clouds,3.1655,-52.3158,La pousada
353,Mana,GF,76.28,overcast clouds,5.6592,-53.7767,LE SAMANA
355,Mayumba,GA,76.51,scattered clouds,-3.432,10.6554,LIKWALE LODGE
356,Touros,BR,81.5,clear sky,-5.1989,-35.4608,INN NEW HORIZON
358,Sao Joao Da Barra,BR,76.33,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
359,Byron Bay,AU,77.05,broken clouds,-28.65,153.6167,Backpackers Inn
364,Namibe,AO,73.44,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
367,Mazagao,BR,84.25,broken clouds,-0.115,-51.2894,Recanto dos Ferreiras
368,Kiunga,PG,75.94,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
369,Paita,PE,79.36,few clouds,-5.0892,-81.1144,Hotel Náutico de Paita
375,Port Keats,AU,81.27,light rain,-14.25,129.55,TDC Village (Hundred Man Camp)
379,Vangaindrano,MG,76.01,light rain,-23.35,47.6,Hotel Fanilo
381,Acapulco,MX,81.79,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
386,Roebourne,AU,86.76,light rain,-20.7833,117.1333,Latitude20 Roebourne Village
390,Whitianga,NZ,71.6,broken clouds,-36.8333,175.7,Beachside Resort Whitianga
391,Nicoya,CR,87.35,scattered clouds,10.1483,-85.452,Las Cabinas Del Sueño
394,Ilhabela,BR,76.84,broken clouds,-23.7781,-45.3581,Ilha Flat Hotel
395,Kribi,CM,79.93,few clouds,2.95,9.9167,La Grace Hôtel
396,Mount Gambier,AU,75.11,overcast clouds,-37.8333,140.7667,The Commodore
398,Huarmey,PE,74.1,scattered clouds,-10.0681,-78.1522,Hotel Miramar
400,Teacapan,MX,76.19,clear sky,22.55,-105.75,Hotel los Mangos
403,Nelson Bay,AU,75.29,scattered clouds,-32.7167,152.15,Mantra Nelson Bay
404,Lubao,PH,78.82,scattered clouds,14.9167,120.55,Hacienda Gracia
407,Springbok,ZA,75.49,broken clouds,-29.6643,17.8865,Undulata Country Lodge
409,Mouila,GA,74.8,overcast clouds,-1.8685,11.0559,Hôtel du Lac Bleu
410,Hirara,JP,70.07,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
412,Port Hedland,AU,84.25,broken clouds,-20.3167,118.5667,"The Esplanade Hotel (Accommodation section closed for refurbishment - Bar, Restaurant & Functions remain open)"
414,Kavaratti,IN,79.34,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
417,Codrington,AU,84.04,overcast clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
418,Fortuna,US,75.54,clear sky,40.5982,-124.1573,Super 8 by Wyndham Fortuna
421,Le Port,RE,80.6,broken clouds,-20.9373,55.2919,KORBEY D'OR OUEST
425,Iquitos,PE,87.84,scattered clouds,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
429,Lompoc,US,70.11,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
432,Angoche,MZ,74.88,overcast clouds,-16.2325,39.9086,Guest House HESADA
434,Trat,TH,78.98,clear sky,12.5,102.5,สวนหนิง-อัศ
435,Port Shepstone,ZA,73.63,overcast clouds,-30.7414,30.455,My Den Beachfront Bed and Breakfast | Self-Catering
